sample_id,sleepprotocol,hoursawake,circadianphase,ARNTL,NR1D1,PER3,ATF1,PUF60,EIF3M
GSM969109,Sleep Restriction,13.5,-6,10839.0,6789.0,3529.0,198.0,4080.5,8072.5
GSM969110,Sleep Restriction,16.5,-3,12445.5,6769.5,4095.5,202.5,4727.0,12509.5
GSM969111,Sleep Restriction,19.5,0,8262.0,6905.0,3198.5,174.0,2687.0,9850.0
GSM969112,Sleep Restriction,22.5,3,8746.5,7066.5,3523.0,217.0,3404.0,8165.5
GSM969113,Sleep Restriction,25.5,6,12432.5,9443.5,3857.0,208.5,4671.0,7249.0
GSM969114,Sleep Restriction,28.5,9,9223.0,7767.0,3412.5,159.0,3066.0,5335.0
GSM969115,Sleep Restriction,34.5,15,14862.5,8110.0,3821.0,249.0,5050.0,11345.0
GSM969116,Sleep Extension,7.5,-12,15134.0,10688.5,4085.5,406.5,5570.5,15121.0
GSM969117,Sleep Extension,10.5,-9,13118.0,9043.5,3787.5,331.0,4679.5,13389.5
GSM969118,Sleep Extension,13.5,-6,24142.5,10924.0,4453.5,513.0,7319.5,22542.5
GSM969119,Sleep Extension,16.5,-3,22699.5,10102.0,4496.0,489.0,7625.5,27624.0
GSM969120,Sleep Extension,19.5,0,23009.0,11157.0,4754.5,416.0,6677.5,24834.0
GSM969121,Sleep Extension,25.5,6,33930.0,16125.0,5356.5,476.0,9765.0,24678.0
GSM969122,Sleep Extension,28.5,9,23891.0,10543.5,4306.5,423.0,7192.5,22489.0
GSM969123,Sleep Extension,31.5,12,14856.5,10624.0,3721.5,370.0,5573.0,14478.5
GSM969124,Sleep Restriction,7.5,-15,30668.0,14225.5,5624.0,519.0,10097.0,31725.0
GSM969125,Sleep Restriction,10.5,-12,17687.0,9720.0,4252.5,415.0,5993.0,17904.0
GSM969126,Sleep Restriction,13.5,-9,17761.0,8641.0,3980.0,377.5,6784.0,15277.0
GSM969127,Sleep Restriction,16.5,-6,20760.0,9846.5,4450.5,438.5,7380.0,21008.0
GSM969128,Sleep Restriction,19.5,-3,18636.5,11294.5,4573.5,400.0,7741.5,20930.5
